Names, N, TSP, TSP*, Error, Time(ns)
burma14, 14, 4048, 3323, 0.218176, 188775
ulysses16, 16, 9874, 6859, 0.439568, 11150
ulysses22, 22, 8628, 7013, 0.230287, 14172
eil51, 51, 534, 426, 0.253521, 34349
berlin52, 52, 8980, 7542, 0.190666, 323739
kroA100, 100, 26854, 21282, 0.261817, 60040
kroD100, 100, 26947, 21294, 0.265474, 52000
ch150, 150, 8197, 6528, 0.255668, 96363
gr202, 202, 49450, 40160, 0.231325, 154638
gr229, 229, 166150, 134602, 0.234380, 195631
pcb442, 442, 61609, 50778, 0.213301, 587317
d493, 493, 43874, 35002, 0.253471, 653623
dsj1000, 1000, 24630960, 18659688, 0.320009, 2399167
